 BL,EN,GZ L ,GZ L cells,GZ WA,GZ WA cells,GZ WB,GZ WB cells,GZ A,Last Seg L,Last Seg L cells,Last Seg A,Trunk A,DAPI,AP oriented DAPI,% AP DAPI,pH3,Tagma
0.667,10,0.054,10,0.131,23,0.116,16,0.00644,0.007,2,0.00142,0.053,6,5,83.33333333,11,Thoracic PostMolt
0.639,10,0.062,11,0.109,18,0.094,13,0.0064,0.007,1,0.00136,0.047,5,5,100,11,Thoracic PostMolt
0.64,10,0.054,10,0.112,19,0.094,13,0.00556,0.007,1,0.00167,0.048,5,4,80,10,Thoracic PostMolt
0.697,10,0.044,10,0.13,21,0.12,16,0.00582,0.01,2,0.00201,0.056,5,1,20,13,Thoracic PostMolt
0.689,10,0.067,13,0.142,22,0.126,18,0.00899,0.01,2,0.00238,0.063,4,3,75,8,Thoracic PostMolt
0.589,10,0.046,11,0.116,19,0.105,16,0.00518,0.007,2,0.00104,0.041,1,0,0,10,Thoracic PostMolt
0.732,10,0.068,12,0.138,23,0.128,20,0.00857,0.009,2,0.00221,0.069,12,7,58.33333333,14,Thoracic PostMolt
0.645,10,0.063,11,0.133,21,0.113,18,0.00749,0.009,3,0.00164,0.048,3,3,100,9,Thoracic PostMolt
0.629,10,0.062,13,0.155,22,0.13,19,0.00823,0.007,2,0.00225,0.057,6,4,66.66666667,9,Thoracic PostMolt
0.63,10,0.062,12,0.129,21,0.116,17,0.0068,0.01,3,0.00183,0.053,5,5,100,8,Thoracic PostMolt
0.617,10,0.046,10,0.126,19,0.111,18,0.00536,0.008,2,0.00167,0.047,2,2,100,2,Thoracic PostMolt
0.605,10,0.056,10,0.14,23,0.113,17,0.00667,0.008,2,0.00164,0.047,7,5,71.42857143,,Thoracic PostMolt
0.705,10,0.07,13,0.139,26,0.119,20,0.00898,0.014,4,0.00218,0.063,4,4,100,10,Thoracic PostMolt
0.706,10,0.062,14,0.131,22,0.123,19,0.00741,0.01,3,0.00196,0.058,1,0,0,8,Thoracic PostMolt
0.686,10,0.062,12,0.148,26,0.131,23,0.0081,0.01,2,0.00235,0.069,3,1,33.33333333,3,Thoracic PostMolt
0.611,10,0.062,11,0.129,20,0.115,18,0.00755,0.009,2,0.00157,0.048,11,9,81.81818182,17,Thoracic PostMolt
0.625,10,0.041,9,0.123,21,0.11,18,0.00521,0.009,2,0.0017,0.052,4,3,75,6,Thoracic PostMolt
0.636,10,0.06,9,0.139,20,0.116,19,0.00709,0.009,2,0.00188,0.052,1,1,100,3,Thoracic PostMolt
0.692,10,0.067,13,0.135,21,0.122,19,0.00839,0.01,2,0.00199,0.063,3,3,100,2,Thoracic PostMolt
0.629,10,0.048,8,0.123,19,0.116,17,0.00537,0.007,2,0.00137,0.05,2,2,100,7,Thoracic PostMolt
0.607,10,0.06,10,0.138,25,0.116,20,0.00687,0.006,1,0.00183,0.047,7,5,71.42857143,11,Thoracic PostMolt
0.609,10,0.049,10,0.117,19,0.103,15,0.00492,0.006,1,0.00137,0.044,10,7,70,15,Thoracic PostMolt
0.68,10,0.068,11,0.14,22,0.123,18,0.00834,0.009,2,0.00197,0.065,3,3,100,10,Thoracic PostMolt
0.688,10,0.059,12,0.141,20,0.126,17,0.00741,0.008,3,0.00214,0.056,1,0,0,2,Thoracic PostMolt
0.694,10,0.066,11,0.138,20,0.124,18,0.00818,0.008,2,0.00207,0.058,5,5,100,16,Thoracic PostMolt
0.704,10,0.069,12,0.146,24,0.129,18,0.00869,0.011,3,0.00222,0.063,5,4,80,4,Thoracic PostMolt
0.703,10,0.074,12,0.15,23,0.126,18,0.00996,0.013,4,0.00253,0.064,2,1,50,6,Thoracic PostMolt
0.721,10,0.062,12,0.131,20,0.123,16,0.00763,0.012,3,0.00193,0.059,2,2,100,10,Thoracic PostMolt
0.711,10,0.078,13,0.146,22,0.119,17,0.00954,0.011,3,0.00234,0.068,3,2,66.66666667,9,Thoracic PostMolt
0.699,10,0.066,14,0.138,20,0.118,14,0.00817,0.01,3,0.00201,0.059,2,2,100,10,Thoracic PostMolt
0.618,10,0.051,10,0.14,21,0.113,,0.00597,0.008,2,0.00188,0.051,5,3,60,8,Thoracic PostMolt
0.667,10,0.065,14,0.14,24,0.126,20,0.00824,0.013,3,0.00218,0.057,5,4,80,5,Thoracic PostMolt
0.7,10,0.061,15,0.148,22,0.129,19,0.00813,0.011,4,0.00197,0.064,7,6,85.71428571,6,Thoracic PostMolt
0.697,10,0.061,14,0.143,20,0.123,19,0.00752,0.011,3,0.00209,0.056,1,1,100,3,Thoracic PostMolt
0.655,10,0.057,13,0.131,22,0.11,19,0.00653,0.009,2,0.00161,0.05,2,2,100,15,Thoracic PostMolt
0.633,10,0.059,11,0.107,18,0.102,15,0.00579,0.009,2,0.0012,0.046,0,,,,Thoracic PostMolt
0.611,10,0.057,10,0.106,17,0.087,13,0.00563,0.009,2,0.00143,0.046,0,0,,,Thoracic PostMolt
0.778,11,0.065,10,0.144,20,0.124,18,0.00869,0.009,2,0.00185,0.08,1,1,100,2,Thoracic PostMolt
0.735,11,0.065,9,0.133,19,0.119,16,0.00837,0.01,2,0.00174,0.072,5,5,100,12,Thoracic PostMolt
0.742,11,0.071,11,0.148,20,0.127,18,0.00929,0.009,3,0.00177,0.073,4,4,100,5,Thoracic PostMolt
0.716,11,0.065,,0.123,,0.108,,0.00715,0.009,,0.00125,0.058,0,0,,,Thoracic PostMolt
0.696,11,0.064,11,0.147,22,0.12,19,0.00808,0.012,3,0.00186,0.065,5,5,100,4,Thoracic PostMolt
0.725,11,0.056,12,0.144,23,0.127,18,0.00716,0.01,3,0.00208,0.067,5,4,80,8,Thoracic PostMolt
0.728,11,0.065,11,0.145,21,0.125,16,0.00841,0.007,2,0.00178,0.068,6,6,100,8,Thoracic PostMolt
0.707,11,0.058,10,0.143,20,0.124,15,0.00671,0.007,2,0.00209,0.064,5,4,80,13,Thoracic PostMolt
0.757,11,0.064,10,0.155,23,0.132,18,0.00884,0.009,3,0.0024,0.076,2,2,100,2,Thoracic PostMolt
0.704,11,0.067,11,0.146,20,0.123,18,0.00819,0.007,2,0.00157,0.064,7,6,85.71428571,21,Thoracic PostMolt
0.755,11,0.065,11,0.154,25,0.127,19,0.00852,0.008,2,0.00161,0.074,6,5,83.33333333,12,Thoracic PostMolt
0.788,11,0.071,13,0.169,27,0.141,22,0.01062,0.011,3,0.00219,0.08,3,3,100,2,Thoracic PostMolt
0.759,11,0.062,10,0.131,20,0.121,16,0.00718,0.009,3,0.00184,0.073,1,1,100,4,Thoracic PostMolt
0.721,11,0.058,9,0.148,21,0.13,17,0.00771,0.009,2,0.00206,0.069,1,1,100,9,Thoracic PostMolt
0.722,11,0.057,11,0.136,21,0.113,18,0.00698,0.011,3,0.00195,0.064,2,2,100,8,Thoracic PostMolt
0.705,11,0.059,11,0.132,18,0.117,16,0.00695,0.009,2,0.00186,0.06,1,1,100,1,Thoracic PostMolt
0.725,11,0.067,,0.14,22,0.125,17,0.00789,0.01,3,0.00162,0.064,3,3,100,3,Thoracic PostMolt
0.682,11,0.058,12,0.133,19,0.122,18,0.00664,0.006,2,0.00152,0.057,4,3,75,3,Thoracic PostMolt
0.678,11,0.053,12,0.13,22,0.117,17,0.00594,0.008,2,0.00139,0.057,0,0,,3,Thoracic PostMolt
0.724,11,0.064,14,0.154,25,0.142,21,0.00842,0.009,3,0.0022,0.068,4,3,75,4,Thoracic PostMolt
0.713,11,0.06,12,0.134,21,0.119,19,0.0069,0.007,2,0.00187,0.065,3,2,66.66666667,3,Thoracic PostMolt
0.698,11,0.049,10,0.134,23,0.12,18,0.00593,0.007,2,0.00151,0.06,1,1,100,2,Thoracic PostMolt
0.741,11,0.061,12,0.139,21,0.122,17,0.00763,0.007,2,0.00181,0.068,2,2,100,4,Thoracic PostMolt
0.717,11,0.056,14,0.132,20,0.119,19,0.0065,0.01,3,0.0015,0.063,2,2,100,3,Thoracic PostMolt
0.739,11,0.063,12,0.145,24,0.122,18,0.00825,0.011,3,0.00192,0.07,2,2,100,1,Thoracic PostMolt
0.746,11,0.059,12,0.14,22,0.128,18,0.00766,0.009,3,0.00151,0.071,0,0,,0,Thoracic PostMolt
0.734,11,0.056,11,0.133,23,0.118,17,0.00701,0.009,2,0.0018,0.068,4,4,100,10,Thoracic PostMolt
0.701,11,0.055,11,0.137,23,0.119,17,0.00709,0.006,1,0.00161,0.057,2,1,50,5,Thoracic PostMolt
0.715,11,0.054,10,0.127,20,0.119,16,0.00592,0.008,2,0.0016,0.06,4,3,75,8,Thoracic PostMolt
0.749,11,0.059,12,0.147,21,0.128,17,0.00781,0.009,2,0.00197,0.068,2,2,100,5,Thoracic PostMolt
0.699,11,0.049,9,0.145,22,0.128,19,0.0064,0.007,2,0.00158,0.062,2,2,100,7,Thoracic PostMolt
0.629,11,0.049,10,0.116,21,0.108,18,0.00534,0.008,3,0.00111,0.046,1,0,0,13,Thoracic PostMolt
0.744,11,0.052,10,0.116,19,0.117,17,0.0058,0.01,3,0.00175,0.06,0,0,,2,Thoracic PostMolt
0.75,11,0.053,9,0.138,21,0.12,17,0.00624,0.008,2,0.00176,0.071,3,1,33.33333333,6,Thoracic PostMolt
0.714,11,0.051,10,0.119,19,0.115,16,0.00565,0.008,2,0.00146,0.055,2,2,100,8,Thoracic PostMolt
0.694,11,0.053,9,0.129,24,0.121,20,0.00627,0.007,2,0.00148,0.055,1,1,100,2,Thoracic PostMolt
0.724,11,0.061,11,0.157,25,0.129,20,0.00842,0.007,2,0.00184,0.083,5,4,80,13,Thoracic PostMolt
0.742,11,0.065,11,0.161,28,0.139,22,0.00913,0.01,2,0.00244,0.077,6,4,66.66666667,8,Thoracic PostMolt
0.741,11,0.062,13,0.133,21,0.117,15,0.00741,0.01,3,0.00201,0.067,1,0,0,2,Thoracic PostMolt
0.723,11,0.059,13,0.159,25,0.144,18,0.0093,0.007,2,0.00155,0.075,1,1,100,3,Thoracic PostMolt
0.69,11,0.057,9,0.118,16,0.103,14,0.0058,0.01,3,0.00159,0.053,3,1,33.33333333,,Thoracic PostMolt
0.676,11,0.058,11,0.117,17,0.105,15,0.00603,0.01,2,0.00143,0.056,9,9,100,,Thoracic PostMolt
0.622,11,0.047,8,0.101,14,0.088,10,0.00403,0.01,2,0.0012,0.041,2,2,100,,Thoracic PostMolt
0.625,11,0.043,7,0.103,13,0.102,14,0.00439,0.01,3,0.00133,0.048,3,3,100,,Thoracic PostMolt
0.771,12,0.06,11,0.145,22,0.126,18,0.00765,0.008,1,0.00182,0.079,2,1,50,2,Genital
0.754,12,0.056,10,0.152,21,0.133,19,0.00754,0.01,3,0.00235,0.073,2,0,0,2,Genital
0.773,12,0.061,10,0.145,21,0.129,18,0.00771,0.007,1,0.00181,0.074,1,1,100,2,Genital
0.791,12,0.052,10,0.134,22,0.125,19,0.00671,0.009,2,0.00184,0.08,1,1,100,,Genital
0.815,12,0.053,10,0.152,25,0.135,19,0.00715,0.009,2,0.00204,0.084,4,4,100,0,Genital
0.798,12,0.057,10,0.14,22,0.13,19,0.00772,0.011,3,0.00199,0.079,4,1,25,5,Genital
0.793,12,0.047,10,0.144,20,0.13,20,0.00639,0.008,2,0.00181,0.078,2,2,100,1,Genital
0.775,12,0.051,11,0.15,24,0.14,21,0.00696,0.009,3,0.00202,0.073,0,0,,1,Genital
0.754,12,0.053,10,0.131,19,0.118,17,0.00585,0.008,2,0.00183,0.067,1,1,100,2,Genital
0.747,12,0.05,10,0.146,,0.135,23,0.00621,0.008,3,0.00187,0.07,0,0,,2,Genital
0.804,12,0.049,9,0.137,22,0.129,18,0.00619,0.009,2,0.00175,0.077,1,1,100,7,Genital
0.725,12,0.04,8,0.137,18,0.129,18,0.00539,0.009,2,0.0014,0.065,1,1,100,3,Genital
0.753,12,0.047,9,0.128,20,0.117,18,0.00579,0.008,2,0.00158,0.069,2,2,100,2,Genital
0.794,12,0.049,10,0.157,25,0.142,21,0.00713,0.01,2,0.00185,0.086,1,0,0,7,Genital
0.791,12,0.057,12,0.145,24,0.127,20,0.00785,0.01,3,0.00212,0.081,0,0,,1,Genital
0.76,12,0.049,9,0.152,23,0.14,20,0.00701,0.01,3,0.00216,0.079,0,0,,2,Genital
0.756,12,0.047,9,0.142,21,0.13,19,0.00635,0.009,3,0.00164,0.07,3,2,66.66666667,8,Genital
0.787,12,0.043,10,0.139,22,0.13,20,0.00518,0.007,2,0.0017,0.076,3,3,100,9,Genital
0.718,12,0.051,8,0.109,14,0.096,13,0.0051,0.011,3,0.00169,0.061,3,3,100,,Genital
0.699,12,0.044,7,0.11,15,0.1,13,0.00449,0.01,2,0.00144,0.06,2,2,100,,Genital
0.731,12,0.054,9,0.099,13,0.092,13,0.00481,0.009,2,0.00127,0.054,7,7,100,,Genital
0.668,12,0.046,7,0.107,14,0.102,13,0.00442,0.008,2,0.00114,0.052,3,3,100,,Genital
0.712,12,0.049,9,0.09,13,0.093,13,0.00416,0.009,2,0.0013,0.059,4,4,100,,Genital
0.717,12,0.05,8,0.123,15,0.104,12,0.00538,0.01,2,0.00176,0.061,6,5,83.33333333,,Genital
0.688,12,0.053,7,0.131,17,0.112,14,0.00596,0.006,1,0.00141,0.056,3,3,100,,Genital
0.686,12,0.06,9,0.127,16,0.108,13,0.00668,0.011,3,0.00161,0.054,4,3,75,,Genital
0.688,12,0.046,8,0.083,11,0.089,14,0.00355,0.006,2,0.00101,0.047,2,,,,Genital
0.699,12,0.051,9,0.107,12,0.099,12,0.00487,0.006,1,0.00149,0.055,5,5,100,,Genital
0.778,12,0.049,8,0.1,14,0.095,13,0.00479,0.013,3,0.00138,0.061,2,,,,Genital
0.834,12,0.057,12,0.151,23,0.123,16,0.00786,0.012,3,0.0023,0.088,1,,,,Genital
0.726,12,0.043,8,0.137,20,0.132,18,0.00553,0.012,3,0.00194,0.054,1,,,,Genital
0.744,12,0.043,7,0.107,14,0.104,16,0.00427,0.008,2,0.00141,0.057,0,0,,,Genital
0.854,12,0.068,9,0.123,16,0.109,17,0.00747,0.012,2,0.00225,0.083,0,0,,,Genital
0.755,12,0.056,9,0.114,15,0.105,15,0.00607,0.009,2,0.00165,0.065,3,2,66.66666667,,Genital
0.762,12,0.057,9,0.114,15,0.109,15,0.00621,0.011,4,0.00149,0.06,1,1,100,,Genital
0.725,13,0.037,6,0.097,12,0.089,13,0.0033,0.009,2,0.00112,0.056,1,,,,Genital
0.754,13,0.045,6,0.108,15,0.102,13,0.00448,0.008,2,0.00134,0.068,3,3,100,,Genital
0.763,13,0.042,6,0.097,12,0.096,12,0.00371,0.007,2,0.00129,0.063,2,1,50,,Genital
0.778,13,0.046,7,0.101,16,0.093,12,0.00377,0.006,1,0.00121,0.064,6,5,83.33333333,,Genital
0.861,13,0.052,8,0.13,19,0.117,16,0.00595,0.009,2,0.00169,0.085,1,,,,Genital
0.843,13,0.044,7,0.124,18,0.112,16,0.00483,0.009,2,0.00121,0.076,2,,,,Genital
0.902,13,0.054,8,0.141,19,0.13,16,0.00746,0.011,3,0.00202,0.092,1,,,,Genital
0.784,13,0.046,8,0.101,17,0.1,16,0.00434,0.011,2,0.00112,0.067,2,,,,Genital
0.826,13,0.047,7,0.127,19,0.109,14,0.00562,0.012,3,0.00156,0.076,0,0,,,Genital
0.837,13,0.044,8,0.14,22,0.117,17,0.00591,0.01,2,0.00206,0.083,6,,,,Genital
0.851,13,0.047,7,0.107,14,0.102,13,0.00473,0.011,3,0.00146,0.078,2,1,50,,Genital
0.826,13,0.043,7,0.13,17,0.117,17,0.00548,0.01,3,0.00248,0.078,10,7,70,,Genital
0.844,13,0.052,8,0.123,16,0.11,14,0.00578,0.01,2,0.00165,0.081,3,3,100,,Genital
0.816,13,0.049,8,0.123,18,0.11,13,0.00547,0.008,2,0.0015,0.075,18,16,88.88888889,,Genital
0.835,13,0.048,7,0.123,17,0.111,15,0.00591,0.01,3,0.00156,0.077,12,10,83.33333333,,Genital
0.823,13,0.043,7,0.11,14,0.105,13,0.00476,0.012,3,0.00172,0.073,4,4,100,,Genital
0.813,13,0.066,9,0.13,16,0.112,14,0.00753,0.008,2,0.00181,0.078,3,3,100,,Genital
0.824,13,0.05,9,0.127,16,0.119,17,0.00594,0.006,1,0.00157,0.075,7,6,85.71428571,,Genital
0.798,13,0.04,6,0.112,18,0.107,16,0.00465,0.007,1,0.00131,0.075,4,4,100,,Genital
0.782,13,0.044,7,0.124,15,0.108,13,0.005,0.009,2,0.00154,0.07,1,1,100,,Genital
0.853,13,0.051,7,0.137,19,0.114,13,0.00631,0.01,2,0.00173,0.088,3,3,100,,Genital
0.795,13,0.045,7,0.111,16,0.105,14,0.00472,0.011,2,0.00151,0.068,1,1,100,,Genital
0.707,13,0.064,12,0.119,19,0.111,16,0.0072,0.007,1,0.00156,0.071,3,3,100,,Genital
0.812,13,0.045,7,0.109,17,0.113,15,0.00489,0.009,2,0.00135,0.074,2,2,100,,Genital
0.749,13,0.035,6,0.115,17,0.112,14,0.00375,0.008,2,0.00117,0.064,2,2,100,,Genital
0.802,13,0.038,7,0.128,19,0.116,17,0.00431,0.007,2,0.00132,0.08,3,3,100,,Genital
0.767,13,0.046,8,0.116,14,0.107,13,0.00527,0.004,1,0.00108,0.062,0,0,,,Genital
0.801,13,0.054,8,0.134,18,0.119,15,0.00679,0.008,2,0.00221,0.075,1,,,,Genital
0.895,14,0.041,6,0.153,21,0.134,15,0.00554,0.007,1,0.00181,0.104,1,,,,Abdominal
0.858,14,0.047,8,0.138,18,0.129,16,0.00608,0.012,3,0.002,0.086,6,5,83.33333333,,Abdominal
0.894,14,0.048,8,0.141,21,0.113,17,0.00662,0.007,1,0.00124,0.097,2,2,100,,Abdominal
0.868,14,0.044,7,0.138,23,0.132,18,0.00551,0.006,1,0.00142,0.095,1,0,0,,Abdominal
